generatedAt,sourceType,sourceTitle,sourceUrl,sourceDate,articleId,matchedHeroCount,emittedRowCount,confidence,notes
2026-05-21T23:47:19.390Z,official_patch_note,1.30b Hotfix,https://playeternalreturn.com/posts/news/2188?hl=en-US,2024-09-13T04:49:00.000000Z,2188,1,3,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,[Edited]1.30a Hotfix,https://playeternalreturn.com/posts/news/2184?hl=en-US,2024-09-12T07:17:00.000000Z,2184,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,[Complete] Maintenance Notice,https://playeternalreturn.com/posts/news/2181?hl=en-US,2024-09-12T06:00:00.000000Z,2181,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.30 - September 12th, 2024",https://playeternalreturn.com/posts/news/2179?hl=en-US,2024-09-11T08:00:00.000000Z,2179,42,68,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.29.1b Hotfix (Asia 1 Server),https://playeternalreturn.com/posts/news/2175?hl=en-US,2024-09-09T03:00:00.000000Z,2175,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.29.1a Hotfix,https://playeternalreturn.com/posts/news/2174?hl=en-US,2024-09-06T05:00:00.000000Z,2174,4,8,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,[Complete] Maintenance Notice,https://playeternalreturn.com/posts/news/2164?hl=en-US,2024-09-05T06:00:00.000000Z,2164,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.29.1 - September 5th, 2024",https://playeternalreturn.com/posts/news/2161?hl=en-US,2024-09-04T08:00:00.000000Z,2161,11,15,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.29e Hotfix,https://playeternalreturn.com/posts/news/2158?hl=en-US,2024-09-02T11:39:07.000000Z,2158,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.29d Hotfix,https://playeternalreturn.com/posts/news/2152?hl=en-US,2024-09-02T08:46:00.000000Z,2152,1,3,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.29c Hotfix,https://playeternalreturn.com/posts/news/2154?hl=en-US,2024-08-30T11:52:15.000000Z,2154,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.29b Hotfix,https://playeternalreturn.com/posts/news/2134?hl=en-US,2024-08-30T08:19:00.000000Z,2134,3,11,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.29a Hotfix,https://playeternalreturn.com/posts/news/2149?hl=en-US,2024-08-29T11:25:00.000000Z,2149,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.29 - August 29th, 2024",https://playeternalreturn.com/posts/news/2132?hl=en-US,2024-08-28T08:20:00.000000Z,2132,10,19,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.28b Hotfix,https://playeternalreturn.com/posts/news/2114?hl=en-US,2024-08-16T04:54:00.000000Z,2114,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.28a Hotfix,https://playeternalreturn.com/posts/news/2112?hl=en-US,2024-08-14T10:18:00.000000Z,2112,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,"PATCH NOTES 1.28 - August 14th, 2024",https://playeternalreturn.com/posts/news/2102?hl=en-US,2024-08-13T08:00:00.000000Z,2102,23,36,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.27c Hotfix,https://playeternalreturn.com/posts/news/2085?hl=en-US,2024-08-05T06:51:00.000000Z,2085,1,1,high_for_patch_delta,Official Eternal Return patch note scanned for missing-damage heroes.
2026-05-21T23:47:19.390Z,official_patch_note,1.27b Hotfix,https://playeternalreturn.com/posts/news/2084?hl=en-US,2024-08-02T05:10:00.000000Z,2084,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
2026-05-21T23:47:19.390Z,official_patch_note,1.27a Hotfix,https://playeternalreturn.com/posts/news/2081?hl=en-US,2024-08-01T09:14:00.000000Z,2081,0,0,none,Scanned official patch note; no damage-related missing-hero snippet emitted.
